protein_id,molecular_weight,isoelectric_point,hydrophobicity,sequence_length,hydrophobic_aa_percent,charged_aa_percent,solubility,aa_A,aa_R,aa_N,aa_D,aa_C,aa_Q,aa_E,aa_G,aa_H,aa_I,aa_L,aa_K,aa_M,aa_F,aa_P,aa_S,aa_T,aa_W,aa_Y,aa_V
PROT_0001,99.61,8.89,-0.639,239,23.5,20.9,1,7.51,1.36,3.86,3.34,8.48,7.88,10.03,1.98,5.33,1.41,3.3,6.17,1.38,3.1,7.61,6.56,3.32,7.0,9.21,1.18
PROT_0002,23.38,5.63,-1.596,364,29.56,16.83,1,8.04,3.37,1.53,1.56,7.21,5.38,6.91,6.33,4.87,8.16,3.68,4.99,7.08,5.49,7.32,5.18,6.14,1.18,2.55,3.01
PROT_0003,48.12,5.87,-1.156,660,29.23,16.42,1,5.99,3.82,3.86,2.57,3.04,8.41,6.09,5.78,2.27,6.74,2.2,3.94,8.84,6.03,5.36,6.39,7.66,7.12,2.73,1.15
PROT_0004,59.33,4.44,-0.474,559,37.7,22.98,1,3.68,6.62,4.38,8.86,4.93,3.25,3.09,5.81,3.23,6.01,8.72,4.41,2.86,9.58,5.36,1.75,1.37,1.91,6.38,7.8
PROT_0005,68.3,5.39,-0.504,245,22.98,18.41,1,2.74,5.03,7.97,5.99,1.71,7.53,6.52,6.65,3.41,3.06,2.04,0.87,6.3,6.28,8.19,6.6,4.68,1.65,5.57,7.21
PROT_0006,32.34,7.69,0.426,296,27.32,20.27,1,7.45,7.23,7.21,4.97,4.2,1.56,3.32,7.67,6.42,2.45,2.46,4.75,1.33,5.9,6.49,7.62,4.51,1.66,5.39,7.4
PROT_0007,44.24,7.4,0.157,664,19.86,28.81,1,8.36,7.73,7.95,4.92,7.55,4.67,9.75,5.43,3.46,1.69,1.27,6.41,6.75,1.14,7.9,1.64,1.72,1.37,4.26,6.03
PROT_0008,41.23,10.46,-0.227,643,33.38,16.78,0,5.04,7.74,7.94,2.61,1.8,4.68,4.62,5.0,7.26,6.78,9.46,1.81,4.44,3.89,8.41,3.11,2.6,4.84,4.61,3.37
PROT_0009,90.43,5.08,-0.813,139,21.13,21.16,1,1.16,7.94,6.78,7.73,7.42,6.87,1.98,4.27,2.32,3.66,1.21,3.51,7.84,2.69,6.4,4.05,3.82,7.64,7.92,4.77
PROT_0010,74.35,6.21,-0.957,765,31.12,10.5,1,7.7,1.56,3.86,1.47,5.35,9.37,5.84,1.53,5.63,8.75,1.63,1.63,8.85,4.68,9.57,6.19,6.27,1.37,1.76,6.99
